objects_actual,fifo_miss_ratio,lru_miss_ratio,sieve_miss_ratio,sieve_vs_fifo_percent,sieve_vs_lru_percent
18030,0.6273,0.5967,0.5213,16.897816036983897,12.636165577342052
18031,0.6275,0.5968,0.5202,17.09960159362549,12.835120643431635
18043,0.6281,0.5976,0.5227,16.780767393727103,12.533467202141896
18055,0.6266,0.596,0.5208,16.88477497606128,12.61744966442952
18059,0.6264,0.5957,0.5204,16.922094508301402,12.640590901460472
18080,0.6261,0.5955,0.5208,16.818399616674647,12.544080604534003
18090,0.6273,0.5968,0.5211,16.92969870875179,12.684316353887398
18094,0.627,0.5963,0.5201,17.049441786283893,12.778802616132825
18098,0.6258,0.5954,0.5203,16.858421220837332,12.613369163587512
18104,0.6281,0.5975,0.5214,16.987740805604208,12.736401673640177
18112,0.6282,0.5978,0.5223,16.857688634192932,12.629642020742725
18150,0.6291,0.5985,0.5228,16.897154665395,12.648287385129489
18165,0.6266,0.5962,0.5212,16.82093839770189,12.57967125125796
18167,0.6284,0.5979,0.5218,16.96371737746657,12.727880916541217
18212,0.6276,0.597,0.5212,16.953473550031877,12.696817420435508
18216,0.6301,0.5997,0.5236,16.902079035073804,12.689678172419553
18231,0.6298,0.5992,0.5238,16.830739917434105,12.583444592790375
18306,0.6267,0.5962,0.5203,16.977820328705928,12.73062730627306
18324,0.6268,0.5964,0.5203,16.991065730695603,12.759892689470162
18905,0.8507,0.8402,0.8006,5.889267661925477,4.71316353249226
18912,0.8508,0.8404,0.7999,5.982604607428296,4.819133745835314
18913,0.8492,0.8388,0.7983,5.9938765897315065,4.828326180257508
18915,0.85,0.8396,0.8018,5.670588235294121,4.502143878037168
18926,0.8509,0.8407,0.8004,5.934892466799858,4.7936243606518385
18932,0.8496,0.8391,0.7985,6.014595103578158,4.838517459182453
18933,0.8497,0.8391,0.7987,6.002118394727556,4.814682397807173
18960,0.8501,0.8396,0.7987,6.0463474885307615,4.871367317770373
18968,0.85,0.8396,0.7986,6.0470588235294125,4.883277751310152
18970,0.8515,0.8412,0.8014,5.883734586024666,4.731336186400374
18971,0.8501,0.8396,0.8002,5.869897659098923,4.692710814673653
18973,0.8511,0.8407,0.8017,5.804253319233933,4.638991316759847
18975,0.8508,0.8404,0.8015,5.794546309355901,4.628748215135655
18977,0.8503,0.84,0.8001,5.903798659296709,4.749999999999992
18989,0.8508,0.8404,0.8013,5.818053596614949,4.65254640647311
19006,0.85,0.8395,0.8005,5.823529411764705,4.645622394282315
19011,0.8507,0.8403,0.8007,5.877512636652174,4.712602641913612
19014,0.8498,0.8394,0.8001,5.848434925864905,4.681915654038598
19017,0.8504,0.8399,0.8017,5.726716839134534,4.5481604952970605
19489,0.6316,0.6013,0.526,16.71944268524383,12.522867121237308
19530,0.6316,0.6014,0.5272,16.52944901836606,12.337878284003997
19558,0.8869,0.8834,0.8706,1.8378622167098864,1.4489472492641977
19563,0.8866,0.8827,0.8685,2.0415068802165584,1.6087005777727414
19566,0.8867,0.8831,0.8679,2.1202210443216463,1.7212093760616003
19573,0.8866,0.8829,0.8688,2.007669749605238,1.597009853890588
19575,0.887,0.8833,0.8688,2.0518602029312283,1.6415713800520728
19581,0.8868,0.883,0.8686,2.05232295895354,1.6308040770101888
19590,0.8868,0.8832,0.8707,1.815516463689671,1.4153079710144878
19592,0.8872,0.8835,0.8694,2.0063119927862982,1.5959252971137525
